prefetch,threads,mean,stddev
32,256,7.007604e+02,3.570913e+02
32,128,4.868668e+02,1.393661e+02
32,64,6.268901e+02,7.559883e+01
32,32,5.380456e+02,4.596849e+01
32,16,5.008162e+02,4.760072e+01
16,256,4.742551e+02,1.918901e+02
16,128,7.996568e+02,3.285121e+02
16,64,9.334003e+02,3.576428e+02
16,32,9.546238e+02,2.956169e+02
16,16,4.960907e+02,1.014876e+02
8,256,9.068394e+02,2.733797e+02
8,128,9.626361e+02,2.579733e+02
8,64,9.622242e+02,1.810561e+02
8,32,6.855575e+02,1.627218e+02
8,16,5.288913e+02,8.346712e+01
3,256,8.705546e+02,1.902304e+02
3,128,8.070226e+02,2.160802e+02
3,64,8.144206e+02,1.294355e+02
3,32,7.291845e+02,4.937093e+01
3,16,5.524527e+02,6.684377e+01
2,256,8.921635e+02,2.092289e+02
2,128,8.126455e+02,1.411743e+02
2,64,7.807564e+02,9.611601e+01
2,32,7.459655e+02,4.566520e+01
2,16,5.762717e+02,4.563989e+01
1,256,8.592125e+02,1.560716e+02
1,128,7.749487e+02,2.240645e+02
1,64,7.537195e+02,2.334659e+02
1,32,6.978206e+02,1.537652e+02
1,16,5.656189e+02,6.420185e+01
32,8,4.189852e+02,5.415670e+01
32,4,3.194357e+02,2.140872e+01
32,2,2.150602e+02,3.303397e+01
32,1,1.245765e+02,1.273558e+01
16,8,4.499877e+02,4.234569e+01
16,4,3.335791e+02,2.895343e+01
16,2,2.283696e+02,2.389041e+01
16,1,1.447621e+02,1.089998e+01
8,8,4.408202e+02,9.491065e+01
8,4,3.214568e+02,4.420725e+01
8,2,2.413009e+02,1.506690e+01
8,1,1.441213e+02,2.289709e+01
3,8,4.508718e+02,7.146894e+01
3,4,3.552476e+02,6.851849e+01
3,2,2.540093e+02,1.293064e+01
3,1,1.547188e+02,1.391457e+01
2,8,4.987562e+02,5.805687e+01
2,4,3.904434e+02,3.038716e+01
2,2,2.586340e+02,1.342310e+01
2,1,1.558303e+02,1.441194e+01
1,8,3.120273e+02,4.610916e+01
1,4,2.269371e+02,1.678352e+01
1,2,1.487084e+02,1.014125e+01
1,1,8.291231e+01,1.012815e+01
